"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SS18L2",337.989135755721,-0.211025884159412,0.116928569905488,0.058166582926657,0.131416477471831
"SSB",4229.75059116043,-0.0847748051655199,0.058068492568228,0.140494861984206,0.266969478676747
"SSBP1",3173.94642300219,-0.127704401181773,0.057968246013216,0.0258527501792339,0.0664298114885454
"SSBP2",309.753018971052,0.253592132755727,0.144891795242069,0.0593026510418657,0.13373935096506
"SSBP3",357.187243215839,-0.398066972849721,0.128266582065603,0.00102115809218755,0.00395159706021428
"SSBP4",462.899175653547,-0.0790986021667904,0.106736481432407,0.439940849493011,0.618749304050207
"SSC4D",20.3031459432717,-0.147477707087394,0.334355716856081,0.463599488802656,0.640626577420979
"SSH1",2134.0773562381,0.229495169991416,0.0761086418741735,0.00210247047888556,0.00751990832932531
"SSH2",548.260821563302,0.29573391605036,0.147427469864686,0.0305398331380894,0.0764436481464021
"SSH3",1147.91383761896,0.0528331075143906,0.101509058781222,0.591543576427306,0.747432909919476
"SSNA1",1351.1145664106,-0.435910540785117,0.0770725742999166,7.72439217747361e-09,7.5193620147382e-08
"SSPN",9.57413202649366,-0.204034460961873,0.407393576494111,0.25414801964301,0.418720267522774
"SSR1",7033.43431335491,0.349433142735465,0.0481770395715515,2.66453754942603e-13,4.14962061027026e-12
"SSR2",8688.51315174349,0.371326332829904,0.0454794011026998,2.12979648658814e-16,4.32112042723327e-15
"SSR3",8466.01007039154,0.0622326957104418,0.057065155306189,0.339597625487468,0.516935767754572
"SSR4",2990.2831888263,0.0369559951018552,0.0604855374205527,0.537688786258772,0.705063676410229
"SSR4P1",33.7924522053468,0.322505086271752,0.319452270538613,0.149783506218564,0.280623661558854
"SSRP1",16598.3071140731,0.224103822252414,0.0406971118378621,3.02131422006818e-08,2.70856525971694e-07
"SSSCA1",761.27145812986,-0.0891899721951048,0.0830560006712114,0.271795828033149,0.440927918160576
"SSSCA1-AS1",6.97349491845261,-0.0529260859139048,0.369127256110268,0.71438755824491,0.838467330278798
"SSTR2",4.71176014966867,-0.0131271482558914,0.372001482712743,0.921259253782828,0.960696685605782
"SSU72",2010.60310810225,0.115127415226169,0.0576516637303776,0.0436071486780846,0.103566978110451
"SSUH2",5.43207859220916,-0.235078675147001,0.458829539518924,0.135973438503256,0.260087246412613
"SSX2IP",1314.21676529819,0.977882160157758,0.07640971002728,2.56413461733653e-38,1.80081146586788e-36
"ST13",6840.57300493845,-0.0989883009463819,0.051161859779789,0.0509275779966854,0.117743881680126
"ST14",1492.04184435517,-0.79068336554654,0.067768191329086,4.04249656771289e-32,2.17780086832657e-30
"ST18",3.28635794494678,-0.0674673902897029,0.387763937184267,0.558061624386833,0.72045062128737
"ST20",54.7837164667148,0.056097365030806,0.237925179468326,0.770202101772223,0.875862652810495
"ST20-AS1",133.708140930506,0.0833956872582024,0.177909889049963,0.601873972368128,0.754900585508937
"ST20-MTHFS",42.0194064683496,-0.206291154754533,0.281526116203914,0.32041753641789,0.496763160625716
"ST3GAL1",795.614867776954,-0.933646674797157,0.0936768629506232,3.3410866270058e-24,1.19009917286796e-22
"ST3GAL2",442.306567352753,0.224646921122534,0.130382237325577,0.0675602069127935,0.148821194833807
"ST3GAL3",285.719961625754,0.0476556608680604,0.130345338152699,0.699698315890722,0.827323746558268
"ST3GAL4",182.424246927398,-0.340026799533418,0.166582254463297,0.0245000707069329,0.0634806163634302
"ST3GAL5",13.0803029967255,-0.231197560139245,0.393059022701769,0.250869998746627,0.41481668747095
"ST3GAL6",6.44958839051742,0.0524342516196994,0.373330326640342,0.707272733149635,0.833019172346359
"ST5",256.405921462781,-0.768727099971925,0.1956789187418,1.61112608892465e-05,9.11552650508022e-05
"ST6GAL1",495.422441214004,-0.3762401720021,0.120594427013698,0.0010301870308968,0.00397921496881915
"ST6GALNAC1",16.489110351579,0.345657079857693,0.455295546238616,0.122904616485063,0.240689363531992
"ST6GALNAC2",274.019056727199,-0.122003986813771,0.148489095805795,0.373415196048637,0.553398925997681
"ST6GALNAC3",279.827042038182,-0.156841696595549,0.146402523163885,0.247300710125672,0.410822657721605
"ST6GALNAC4",1085.0576656098,-0.337707240824556,0.0802153226835078,1.66697829670834e-05,9.41004637585407e-05
"ST6GALNAC5",6.10604629433484,0.0986095708113268,0.388390140337021,0.460571763735816,0.638345987977405
"ST6GALNAC6",594.588165863269,-1.0723685315012,0.118456140511983,1.8912993467349e-20,5.31740190726262e-19
"ST7",612.185739824041,0.123067820515061,0.0959786787474012,0.187046727088229,0.332460560072055
"ST7-AS1",12.360708681795,0.0125957098204165,0.335893411430847,0.946224500480808,0.973325214056011
"ST7-OT4",2.84533989164346,-0.0179878146192655,0.384058840798428,0.86235099368939,0.929595623557487
"ST7L",277.121501815096,0.739708730900184,0.151040933461695,2.10488639161241e-07,1.65144569132973e-06
"ST8SIA4",6.67554376771547,0.586339680549326,1.060844553583,0.0182250453496793,0.0495067118197443
"ST8SIA5",2.58941122834792,-0.105483751593336,0.404629128595899,0.303775695447842,NA
"ST8SIA6",4.89340887970147,0.12863548812741,0.403251472341596,0.323444162777244,0.499980920664486
"STAC",188.898214883299,-0.205994117484181,0.192735758409539,0.221732312373591,0.379328444057661
"STAC2",2.15713927826505,0.0187391030064567,0.38389736417372,0.862097374680374,NA
"STAC3",5.99912609885942,-0.113345199529844,0.388599799701652,0.424297794342685,0.603599625919514
"STAG1",2494.30813988099,0.534087603744014,0.0568114583796534,2.08607706254397e-21,6.1858425305898e-20
"STAG2",4470.68444522002,0.101964737825782,0.0533174295370855,0.0536919901994202,0.123135239818792
"STAG3",16.061292529542,0.0826483897962928,0.350612242507207,0.644102772732367,0.786277801691693
"STAG3L1",21.6413404541789,-0.122128703129231,0.321862685245231,0.540658728331346,0.707407373688631
"STAG3L2",52.7899525077134,-0.458011569290813,0.29129059259083,0.0413308931121627,0.0990933445022788
"STAG3L3",108.566486462325,0.0486956667307442,0.195672932354207,0.776430355142953,0.879619734238819
"STAG3L4",364.173080032155,-0.593484701768662,0.128730427553276,1.2610951183908e-06,8.68103849949416e-06
"STAG3L5P",62.6634797933707,0.0842305684263722,0.258842308336148,0.671608571772522,0.808168754250966
"STAG3L5P-PVRIG2P-PILRB",143.673053486792,-0.0125529624596605,0.194652750740171,0.939758698287972,0.969769630300949
"STAM",1934.81000027703,0.172595284342441,0.064159848017195,0.00640630685875405,0.0199515628507732
"STAM-AS1",2.59473310166625,0.0097524585873838,0.383122089201389,0.928328524255421,NA
"STAM2",1083.23296024354,0.0629029892758448,0.0904498953828879,0.475725295103493,0.652294592903954
"STAMBP",2187.24633635784,0.0801152510672359,0.0645265388418727,0.208659937916559,0.36172680620652
"STAMBPL1",599.584509309367,1.40325942146765,0.0959145411835163,1.88952458946129e-49,2.01089466585185e-47
"STAP2",780.671021956303,-0.066934402773255,0.093555221855212,0.461246921712048,0.63872039202833
"STARD10",805.252043212395,0.229874886590395,0.106345198506282,0.0246953265279615,0.0639006308592702
"STARD13",162.776372824155,-1.73725061656125,0.20606432869444,2.22854937934239e-18,5.36180944291989e-17
"STARD3",1414.43501366678,0.077585301448555,0.0899039576858583,0.375819259132594,0.555812354516184
"STARD3NL",781.458634768725,0.226009504733644,0.0854955996007961,0.00671328920146011,0.020806758580977
"STARD4",631.935052207935,-0.119123746483351,0.0948572629370428,0.196399944998103,0.345133320469638
"STARD5",67.657773249958,0.0734854120497458,0.227963570918519,0.695598621862392,0.824330461364046
"STARD6",1.63968635628975,0.0310621141970191,0.391192004242686,0.712488931586431,NA
"STARD7",3521.57989952775,0.146663578731475,0.0584929352434677,0.0112525295420922,0.0325818110443453
"STARD7-AS1",178.91264524443,-0.455376976922231,0.193042773175669,0.00759754632115138,0.0231789752950374
"STARD8",5.6721962569992,0.0335306481115394,0.375898077152117,0.792604202226913,0.889922659937234
"STARD9",262.538732737657,-0.205743231249492,0.15713595234444,0.152977980166547,0.285222379831158
"STAT1",3230.49669588834,0.996248112232728,0.0605437861977577,1.20725295816155e-61,1.83703658466916e-59
"STAT2",367.242213949623,0.466626739079767,0.153762528459622,0.0010232085308402,0.00395666482043803
"STAT3",2942.68961622062,0.186144343282398,0.0513316054967489,0.000256653098059983,0.00114539781117739
"STAT4",20.4257842885241,0.674350094505325,0.626351327048393,0.0271270460499206,0.0691713755443147
"STAT5A",57.8417106079044,-0.909325097535916,0.307011032616393,0.000413418332106096,0.00175730649523265
"STAT5B",1551.09817087686,-0.0652051813576839,0.0747403459365152,0.373817294609263,0.553861343490509
"STAT6",1325.17345466992,-0.00877392162472519,0.0881132275351928,0.917116590754133,0.95917964697484
"STAU1",8923.67362268756,-0.350536287030644,0.0410616748883016,8.37785137831144e-18,1.92490844847111e-16
"STAU2",326.750663710592,0.310804683510217,0.126814063473214,0.00946906519351627,0.0281507924442034
"STAU2-AS1",2.34712850215234,-0.023927733900395,0.387302405657944,0.797707913093795,NA
"STBD1",249.740321042853,0.592889719325934,0.159806099121198,6.31739471334508e-05,0.00031977778258651
"STC1",8.47495062733385,0.376782254677079,0.536567936991054,0.084705328823536,0.178409827477159
"STC2",21274.9772659846,0.293757010398134,0.0462655766665184,1.59564530559877e-10,1.86898441027832e-09
"STEAP1",98.9494334915528,-0.126551072899298,0.197156578331527,0.460058266117119,0.637736194848463
"STEAP1B",29.1349791118568,1.12967443595877,0.436018308012066,0.000826559195058759,0.00326762132103106
"STEAP2",43.3039103035901,-0.499729895393171,0.416387675580939,0.0542579280039761,0.12415410593391
"STEAP3",725.78890616752,-0.0919184170846402,0.0846380301044255,0.265745221086407,0.433259619378374
"STEAP4",26.0167221527007,0.463202612943527,0.426250394331525,0.0707916243975323,0.154371126137523
"STIL",1044.43985694719,0.0468483721180971,0.0810012444980385,0.5552209062965,0.718530743570287
"STIM1",1469.71367554249,-0.252505496287335,0.0698240931028312,0.000231895857211766,0.00104539954133381
"STIM2",438.349329856249,0.454290593925225,0.12524497254338,0.000131429496738699,0.000625317465695613
"STIMATE",627.498453998672,-0.0535920037556893,0.147202592345385,0.693079807316464,0.822469624980478
"STIP1",5859.2005605104,0.369202996800197,0.0491423943833963,3.14069260919502e-14,5.31009694850936e-13
"STK10",1054.11529242813,-0.0411723893685942,0.0891913961778692,0.634734423344378,0.779742089211453
"STK11",1849.01636430868,-0.0960815493511216,0.0603828648041485,0.107161225940662,0.216103904486475
"STK11IP",1201.359579619,0.103704323926032,0.0764684614750923,0.166970592028282,0.304503664835429
"STK16",915.622375273432,-0.360718274684813,0.0890333870426757,3.07211036947185e-05,0.000165246197144894
"STK17A",1159.13324159196,-0.625545616234666,0.0962385822034361,2.42251581176164e-11,3.11977593070743e-10
"STK17B",1072.94405218522,0.178043667685781,0.0848979721598945,0.0317246843590073,0.0788548645329847
"STK19",645.631904449487,0.377250010708463,0.0954983230116581,4.45338954000486e-05,0.000231296252546301
"STK24",9744.15060865647,-0.163164156267051,0.0471415625395755,0.000487521406217908,0.00203294082539953
"STK24-AS1",3.13068766388408,0.0143288400033246,0.382365164632911,0.899077985920418,0.950414736243844
"STK25",2567.21944489686,-0.114239799885892,0.054313913714656,0.0336240085612913,0.0828046105213971
"STK25P1",4.17222257799093,0.03312765706924,0.378491543485493,0.792461110803571,0.88990330401082
"STK26",1464.44868089533,0.127155303503771,0.0697740767974054,0.0643844300035102,0.142969368570263
"STK3",1601.65717802025,0.0779176065115706,0.0801650488062919,0.321340098617025,0.497728394590643
"STK32A",7.45024894587882,0.17770729490226,0.442966612695028,0.0339301227680822,0.0834873531429677
"STK32C",375.345400829977,-1.06757668177704,0.127124358951485,5.89948011137201e-18,1.38108342094427e-16
"STK33",43.5392567087539,-0.160565969777415,0.301447076222204,0.434890302993164,0.613785866570858
"STK35",1947.01936946086,-0.0594544613727225,0.0593138516485046,0.31053524852415,0.485871286745596
"STK36",341.50369423854,-0.0979846479641664,0.170586710718624,0.521168290720256,0.691255984019058
"STK38",995.430183229643,0.124843391979346,0.0749666583957125,0.0897410687500458,0.187152959798875
"STK38L",681.774431184282,-0.128063593950458,0.122938103203402,0.275834339405302,0.445820180879815
"STK39",1569.45544956983,-0.340090115204029,0.0650524562831443,1.10207563195948e-07,9.1080066639357e-07
"STK4",3806.50605620778,-0.22057350705098,0.0511094936724737,1.35849579710157e-05,7.77750052551843e-05
"STK4-AS1",24.5619785075964,-0.489792239882396,0.443851092586654,0.0619197207778209,0.138399870678116
"STK40",1383.41933057801,0.0932049446944748,0.0777592326652094,0.222227358063512,0.379838208722804
"STMN1",5318.92295672505,0.153805423339561,0.0633451401913046,0.0139511593463025,0.0392938401007159
"STMN3",119.434461096692,-1.53843339237667,0.224644524600543,6.88727337832947e-13,1.03261479078549e-11
"STMP1",694.886470672728,-0.153496083541506,0.0919130459519125,0.085679789308918,0.180090549514334
"STN1",427.047323568288,0.112784928874929,0.108672230012594,0.281115446236452,0.451821518193619
"STOM",5337.93778265675,-0.0471567899027232,0.0490256455541926,0.332924158896672,0.509819507801957
"STOML1",237.509876284541,-0.382291019126399,0.153416856071139,0.0069040835673414,0.021329499134937
"STOML2",5408.75788790486,0.0162361258201692,0.0568008298322132,0.773311493625992,0.877908317540165
"STON1",16.8044131997969,-0.655783869067132,0.591853692281358,0.0327416063577335,0.080930271514335
"STON2",209.779392761768,-0.733910458016211,0.186332699425003,1.70556734053292e-05,9.60288109582103e-05
"STOX1",22.3302636183012,0.217523431634707,0.335978170255866,0.307334273844611,0.482298502658084
"STOX2",51.5829102153177,-0.427292302270033,0.431191580217916,0.0825594711782209,0.174973628164764
"STPG1",617.928625416349,0.349232698118888,0.11643223419117,0.00168019086950825,0.00614631248490474
"STRA6",34.5134728201716,1.13764471356381,0.412692476506699,0.000487745583360637,0.00203338683839389
"STRA6LP",3.23328877457191,0.000936064820244089,0.386332335665373,0.994172898237321,0.997392705206339
"STRADA",422.957874309178,0.0484273871922989,0.113172899562213,0.656054378488015,0.796401350848957
"STRADB",462.006139617403,0.357238203214623,0.136218147632865,0.00516543504527729,0.0165750650629717
"STRAP",6827.88045631365,-0.288759476838471,0.044225739658241,4.86913378491634e-11,6.08536482470776e-10
"STRBP",1016.15102804448,0.108527556467919,0.0885996212391104,0.209256839769652,0.36252655542636
"STRC",1.96204800470047,0.00883032285913223,0.385210780699778,0.930017325946928,NA
"STRIP1",1019.90396076492,0.76538298055841,0.0876075424005323,5.06897149920927e-19,1.27068567336392e-17
"STRIP2",164.092507581263,-0.00217832288469047,0.164422529761563,0.988585057704006,0.994306965985617
"STRN",1816.7774955331,0.2477595316261,0.0661634620356504,0.00014620763326465,0.000687800527131992
"STRN3",686.146568897994,-0.208955004647737,0.0945751425904172,0.0227022005897684,0.0595967121111854
"STRN4",4949.09505232541,0.0169963436703263,0.0515789031017821,0.74437936417411,0.859965560810808
"STS",146.133905279446,0.127748890177114,0.170592980926898,0.408171633617441,0.588642717252036
"STT3A",2861.50869264018,-0.542741195282948,0.0545099097659774,8.63228618300876e-24,3.01903766969058e-22
"STT3B",7639.10326960181,-0.0892525546749615,0.0688149240645157,0.18621350059836,0.331205331167821
"STUB1",2460.30351990284,0.092042978315567,0.0605907846899856,0.124257686106852,0.2428730231995
"STX10",565.830142784112,0.0658115591620639,0.095492283093706,0.478083747777773,0.654253610973574
"STX11",97.0363415648339,0.119513563711967,0.199301955181818,0.490066894258326,0.665038755745849
"STX12",560.729363122687,0.277109126130109,0.107478484674654,0.00730422305181022,0.0223862822049032
"STX16",3787.4172890506,-0.469232562491922,0.0624944941276593,1.2012521254348e-14,2.10698894033544e-13
"STX16-NPEPL1",10.6969507393667,-0.0410045160551688,0.358618285831728,0.795653132512557,0.891126552765543
"STX17",556.193574525843,0.0765507327203231,0.103200490379515,0.442307666363063,0.621272152906886
"STX18",530.454835873926,0.0248857990597389,0.155241301024863,0.863042707960053,0.929828395433852
"STX18-AS1",92.5439893536065,-0.18201899705738,0.22773085929336,0.331994892976598,0.508576069274554
"STX19",3.84256177992736,0.152702139953447,0.41562521128486,0.246606945767943,0.410231174552791
"STX1A",451.363291660943,-0.368274469173875,0.144745539099488,0.00613059331856605,0.0192066827338207
"STX1B",1.85651071066521,0.0676046106804292,0.398021591988025,0.420791331618331,NA
"STX2",309.596738194745,-0.547515941246975,0.141012114134509,3.53461598568914e-05,0.000187049980182274
"STX3",1235.584327839,0.250309296596248,0.102154025520303,0.011092887779387,0.0321840314950705
"STX4",307.992312737394,0.233726650566747,0.137779979594982,0.069973419186491,0.153087262281254
"STX5",1982.44059974695,0.561735107414621,0.0669478220792705,1.82162263716127e-17,4.02543794736772e-16
"STX6",1253.41365736979,0.43635453171252,0.0777604308368337,1.02273871808028e-08,9.79108639212946e-08
"STX7",785.585668702868,-0.0586833608275269,0.0952981774767016,0.52505773116666,0.694791930215907
"STX8",528.298552165327,0.187737167387528,0.112139781129358,0.0806741897969209,0.171746243135908
"STXBP1",443.205225482501,-0.948674423985891,0.125178948452014,5.32490065520506e-15,9.62198454852522e-14
"STXBP2",2085.28638081118,0.0540021723170282,0.0567841964318651,0.336776302568065,0.514039465081235
"STXBP3",909.748673004609,0.668445008042976,0.0822766950881066,1.19186935780681e-16,2.476090748488e-15
"STXBP4",149.69154238566,0.298643380533528,0.224692349608165,0.1122561443286,0.224266651579894
"STXBP5",1263.88051071962,0.161341915332422,0.0781158701568064,0.0351217291520821,0.086077512800391
"STXBP5-AS1",4.85794144816997,-0.0678914891419287,0.374717734741304,0.63462371494619,0.779742089211453
"STYK1",38.0824389758414,-0.154947636788431,0.282792416683379,0.448255508878673,0.626764991158158
"STYX",949.358330974223,0.0345478619054494,0.0750953858262482,0.640435274093911,0.78413542488051
"STYXL1",1118.97910239314,-0.602214827812971,0.0792122814001536,9.42879130678747e-15,1.67411712178958e-13
"SUB1",2825.80414559161,-0.112961596130732,0.0689245594931629,0.0952563884677127,0.196341797855206
"SUCLA2",1677.36403252649,-0.128432570860161,0.0708206319257187,0.0647201471804019,0.143622923517773
"SUCLG1",977.043317991065,0.208610473650547,0.0761674977912774,0.00520460056907944,0.0166822258078014
"SUCLG2",1560.60913565847,0.0320539265404493,0.0664894484252854,0.625472822593438,0.773017743910541
"SUCLG2-AS1",19.0869333343128,-0.0804368850342736,0.319890801250799,0.681065758269764,0.814347919302721
"SUCO",1465.54309486021,0.572904292722692,0.0702046619899694,1.17161318841975e-16,2.43985281866955e-15
"SUDS3",851.698118025313,0.0979299277709392,0.0781437908285278,0.20142092410783,0.352136801072586
"SUFU",296.257975326315,0.233114546344024,0.125371405628634,0.0495037303540631,0.11494677635757
"SUGCT",37.1375424337568,0.0998467248380765,0.303524382434804,0.619903713433407,0.768654018365212
"SUGP1",982.29833994525,-0.202432320251196,0.114830518150037,0.0643761164955065,0.142969209172648
"SUGP2",1087.74702313788,-0.20248641213446,0.112247053253017,0.05926122117696,0.133680676691382
"SUGT1",1130.19440388513,-0.249831879649314,0.085641341788645,0.00275322409809462,0.00953677684298069
"SUGT1P3",3.30855588657889,-0.0847802484196553,0.390731973636746,0.485281722928931,0.661234942082175
"SUGT1P4-STRA6LP",12.3113998977314,0.0152411856851116,0.349627512856381,0.929422562868656,0.964447653182326
"SULF1",43.7047385681106,2.7673410531614,0.524458667370595,4.07854853239258e-09,4.08490654684839e-08
"SULF2",1225.7076938671,-0.768333939208583,0.0827288794959611,3.43936691776473e-21,9.97703978636534e-20
"SULT1A1",73.7425296053379,0.094261170852217,0.237451435635428,0.622472537548215,0.770627398576141
"SULT1A2",16.8803543574013,0.747596951069313,0.624412668285578,0.0215150572537329,0.056954325985122
"SULT1A3",12.4219833451303,-0.0540611590530476,0.362570500443219,0.73145223731408,0.850851794344306
"SULT1A4",24.2271904195943,0.051258971592372,0.400006039536667,0.38158542086419,0.562392718413858
"SULT1B1",45.6324133643904,-0.0163269096040755,0.268379950360782,0.933014771410524,0.966442183057166
"SULT1E1",58.1144796728534,0.325701814598721,0.285063670479429,0.1299420920494,0.251469595271169
"SULT2B1",85.7343923219508,0.165797236623138,0.229766362958009,0.379974014147206,0.560827807658605
"SULT4A1",17.3219689617953,-1.3141495293864,0.633161615864547,0.00241118019921857,0.00847896673745076
"SUMF1",400.404361844522,-0.117723352894036,0.133932338431133,0.349470609160667,0.527382919278824
"SUMF2",4024.93501271022,-0.353804848705078,0.0531175265454522,1.70893561979221e-11,2.25265244654525e-10
"SUMO1",3210.01871005259,0.0979777603719244,0.0618210992418055,0.108953272620426,0.218979541205714
"SUMO2",3737.34350779358,0.136030917605836,0.0585170404406915,0.0187394543124196,0.0506581446092477
"SUMO3",3941.82007133231,-0.0273536289538695,0.0549830454714404,0.639978594885318,0.783797563221943
"SUN1",5101.08269279551,0.374743347221971,0.0730278495673937,1.70917279007588e-07,1.36694423187858e-06
"SUN2",2088.46158012488,0.436058459153378,0.0602251386542256,2.31389060886899e-13,3.64569122543601e-12
"SUN3",5.62691885936576,0.0724212466294654,0.371194499813072,0.634506677313563,0.779742089211453
"SUOX",74.5146669125442,0.126082888116302,0.220523886885405,0.493826551630101,0.667894058251003
"SUPT16H",6599.07668475105,-0.323852563247661,0.0413053159769563,3.05260908326988e-15,5.63336274122155e-14
"SUPT20H",1932.18529705487,-0.246823079621614,0.0670976925464876,0.000184688672290309,0.000848462499528598
"SUPT3H",205.39894457084,-0.228632739859154,0.188789728685159,0.168388966171815,0.306470263424578
"SUPT4H1",1992.87381425891,-0.197049731746351,0.0710982123146774,0.00479575796696536,0.015541194368195
"SUPT5H",3480.16908901086,0.0916592473855599,0.0567058265054165,0.102421950730669,0.208485517404941
"SUPT6H",4793.32174680716,-0.00484006023711582,0.0550147574130335,0.89170243855933,0.947003930555204
"SUPT7L",1110.6798539776,0.0666581639226557,0.0747887152064513,0.364485071578776,0.543609538017112
"SUPV3L1",1375.58132047986,0.0300486143223609,0.0845196560846393,0.716649906735256,0.840265355331969
"SURF1",731.403151768596,-0.261080323851423,0.088099173403582,0.00233379907199178,0.00823523443894251
"SURF2",1259.79283997597,-0.119741211173798,0.0703756204142087,0.0835240244166989,0.176521838639922
"SURF4",8584.71130265041,-0.267739801392481,0.045311141589403,2.67711033339538e-09,2.71736880944469e-08
"SURF6",2635.94849804477,-0.514823233408312,0.0638316451714555,2.86910541883938e-16,5.75380019660193e-15
"SUSD1",339.10243295805,0.167913896182138,0.126579714442727,0.161504837527962,0.297061140708571
"SUSD2",184.066908505605,2.2843990183598,0.173831147049035,1.57755717926545e-40,1.21087984020875e-38
"SUSD3",4.87844231251833,-0.0646009735846527,0.376062423883144,0.642904363568471,0.785384647522695
"SUSD4",4.61378118369492,-0.0601874903237835,0.385761172401278,0.585395440919867,0.742096953641986
"SUSD5",226.231988060293,0.541498159334707,0.161456150016569,0.000272015358276901,0.00120483732432784
"SUSD6",717.850189942213,0.170923556743794,0.0928077756604004,0.0579012986894573,0.131038986088195
