,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
201.5,3154118,2004333,585165,1914539,742951,,382907800
202.5,3169475,1998832,618293,1928867,737293,,385773400
203.5,3179484,1991441,653866,1941597,729509,,388319400
204.5,3184135,1982291,691923,1952783,719591,,390556600
205.5,3183456,1971517,732488,1962487,707548,,392497400
206.5,3177507,1959252,775567,1970776,693404,,394155200
207.5,3166383,1945633,821149,1977722,677201,,395544400
208.5,3150213,1930793,869197,1983401,658998,,396680200
209.5,3129152,1914862,919652,1987889,638872,,397577800
210.5,3103387,1897969,972429,1991262,616921,,398252400
211.5,3073130,1880238,1027412,1993594,593262,,398718800
212.5,3038616,1861787,1084460,1994954,568032,,398990800
213.5,3000098,1842731,1143401,1995410,541391,,399082000
214.5,2957848,1823177,1204034,1995020,513522,,399004000
215.5,2912152,1803227,1266129,1993836,484629,,398767200
216.5,2863305,1782979,1329430,1991905,454947,,398381000
217.5,2811611,1762520,1393655,1989262,424739,,397852400
218.5,2757377,1741934,1458500,1985937,394303,,397187400
219.5,2700912,1721298,1523641,1981950,363981,,396390000
220.5,2642523,1700681,1588740,1977315,334170,,395463000
221.5,2582514,1680148,1653447,1972036,305336,,394407200
222.5,2521181,1659756,1717406,1966114,278032,,393222800
223.5,2458812,1639558,1780258,1959543,252918,,391908600
224.5,2395684,1619598,1841649,1952310,230768,,390462000
225.5,2332061,1599919,1901233,1944404,212451,,388880800
226.5,2268194,1580555,1958677,1935809,198834,,387161800
227.5,2204320,1561536,2013667,1926508,190604,,385301600
228.5,2140658,1542890,2065910,1916486,188040,,383297200
229.5,2077411,1524636,2115140,1905729,190857,,381145800
230.5,2014768,1506793,2161120,1894227,198270,,378845400
231.5,1952897,1489373,2203646,1881972,209220,,376394400
232.5,1891953,1472388,2242547,1868963,222623,,373792600
233.5,1832071,1455843,2277689,1855201,237528,,371040200
234.5,1773371,1439741,2308973,1840695,253174,,368139000
235.5,1715958,1424085,2336336,1825460,268976,,365092000
236.5,1659922,1408871,2359752,1809515,284504,,361903000
237.5,1605336,1394096,2379226,1792886,299445,,358577200
238.5,1552263,1379753,2394799,1775605,313577,,355121000
239.5,1500750,1365834,2406541,1757708,326746,,351541600
240.5,1450835,1352329,2414548,1739237,338851,,347847400
241.5,1402543,1339226,2418943,1720237,349831,,344047400
242.5,1355889,1326513,2419870,1700757,359657,,340151400
243.5,1310881,1314174,2417492,1680849,368323,,336169800
244.5,1267516,1302194,2411986,1660565,375844,,332113000
245.5,1225786,1290557,2403542,1639961,382248,,327992200
246.5,1185675,1279245,2392359,1619093,387575,,323818600
247.5,1147162,1268240,2378642,1598015,391875,,319603000
248.5,1110221,1257523,2362599,1576781,395203,,315356200
249.5,1074822,1247075,2344439,1555445,397618,,311089000
250.5,1040931,1236875,2324370,1534059,399184,,306811800
251.5,1008510,1226905,2302595,1512670,399963,,302534000
252.5,977521,1217142,2279312,1491325,400020,,298265000
253.5,947923,1207567,2254711,1470067,399418,,294013400
254.5,919672,1198159,2228976,1448936,398219,,289787200
255.5,892726,1188896,2202279,1427967,396484,,285593400
256.5,867040,1179759,2174783,1407194,394269,,281438800
257.5,842569,1170726,2146640,1386645,391627,,277329000
