,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
235.5,2143029,1107945,1644258,1631744,298868,,326348800
236.5,2099324,1064876,1587921,1584040,298626,,316808000
237.5,2054910,1022963,1533321,1537065,297903,,307413000
238.5,2009888,982230,1480438,1490852,296705,,298170400
239.5,1964358,942694,1429252,1445435,295040,,289087000
240.5,1918419,904365,1379737,1400840,292922,,280168000
241.5,1872167,867250,1331866,1357094,290369,,271418800
242.5,1825697,831349,1285610,1314219,287400,,262843800
243.5,1779102,796658,1240938,1272233,284038,,254446600
244.5,1732471,763170,1197817,1231153,280309,,246230600
245.5,1685891,730873,1156213,1190993,276238,,238198600
246.5,1639446,699752,1116092,1151763,271852,,230352600
247.5,1593215,669790,1077417,1113474,267179,,222694800
248.5,1547274,640967,1040153,1076131,262246,,215226200
249.5,1501696,613261,1004261,1039739,257082,,207947800
250.5,1456548,586647,969705,1004300,251714,,200860000
251.5,1411894,561100,936448,969814,246169,,193962800
252.5,1367795,536594,904450,936280,240474,,187256000
253.5,1324305,513101,873676,903694,234655,,180738800
254.5,1281475,490592,844087,872051,228736,,174410200
255.5,1239352,469038,815646,841345,222742,,168269000
256.5,1197978,448409,788316,811568,216694,,162313600
257.5,1157392,428676,762061,782710,210615,,156542000
258.5,1117626,409808,736845,754760,204526,,150952000
259.5,1078711,391777,712633,727707,198444,,145541400
260.5,1040673,374552,689389,701538,192389,,140307600
261.5,1003533,358104,667079,676238,186376,,135247600
262.5,967309,342403,645670,651794,180421,,130358800
263.5,932016,327422,625129,628189,174538,,125637800
264.5,897665,313132,605424,605407,168740,,121081400
265.5,864263,299505,586524,583431,163039,,116686200
266.5,831815,286515,568398,562243,157445,,112448600
267.5,800323,274136,551018,541825,151967,,108365000
268.5,769786,262341,534353,522160,146614,,104432000
269.5,740200,251106,518376,503227,141392,,100645400
270.5,711560,240408,503060,485009,136309,,97001800
271.5,683856,230221,488379,467485,131369,,93497000
272.5,657079,220525,474307,450637,126577,,90127400
273.5,631218,211297,460819,434445,121936,,86889000
274.5,606258,202516,447893,418889,117449,,83777800
