"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CSF2",1.62484902797152,0.0299319396678481,0.307760749359964,0.563066315020195,NA
"CSF2RA",5.163125607505,0.00208307174000114,0.29534938423065,0.983398184192051,0.993133096388776
"CSF2RB",2.37585266309718,-0.0598130398367338,0.314469933483769,0.238465992778569,NA
"CSGALNACT1",8.51754353167187,-0.174997145310275,0.358017484749644,0.116135817938366,0.307055618279683
"CSGALNACT2",244.432757188445,0.132434542665572,0.137121376433062,0.28119118108995,0.534427058588765
"CSK",653.50326084254,-0.0679379604371186,0.110971277590888,0.510905593898507,0.742582106308464
"CSKMT",28.8675338402194,-0.601157673054682,0.556831019837898,0.020624140392036,0.086745088246436
"CSNK1A1",2634.08102370573,0.411493118842218,0.0583812265059531,7.17322039698885e-13,2.78882172273605e-11
"CSNK1D",952.050663540856,0.0197378234024014,0.0883234502922742,0.816453034793416,0.920373199331648
"CSNK1E",1111.33653041678,0.0753217613162079,0.0781846225777606,0.31971036624232,0.575908470315508
"CSNK1G1",325.758792474331,0.789267707644761,0.158329130756823,8.04175211893951e-08,1.62207760818448e-06
"CSNK1G2",306.257214587341,0.0840195259926727,0.127996368040895,0.471534552990613,0.710684552106662
"CSNK1G3",317.374347673188,-0.0141713968186593,0.142134526294939,0.910849591829371,0.96268887903824
"CSNK2A1",1107.30255240794,0.44979533533108,0.0790475242806814,4.34303464375961e-09,1.0719723832056e-07
"CSNK2A2",591.150441317545,0.0871115782512558,0.102632514157518,0.368515485576079,0.623555292822214
"CSNK2B",842.362928200837,-0.0468294912278619,0.0919748283879772,0.593110701478149,0.800138708746966
"CSPG4",1178.22242712945,-0.188697686538328,0.0884605025213772,0.0254662990357958,0.102212556734471
"CSPG4P10",17.1603350909082,0.0868927938591749,0.281653857768438,0.527595833823038,0.755643317253516
"CSPG4P11",7.5993889423249,0.10409095586264,0.315219710664029,0.308686389941775,0.564792639197445
"CSPG4P12",11.9283206569956,0.0305775194681279,0.287398596406699,0.786573404505843,0.907874608251261
"CSPP1",165.812485892002,0.153811837023179,0.167963904102526,0.278386865644973,0.531510318111063
"CSRNP1",161.712205860108,-0.0677628103641039,0.164924840017689,0.62653099185589,0.819162797942267
"CSRNP2",248.817163538166,-0.136709843942001,0.160983224160489,0.319709939698136,0.575908470315508
"CSRP1",4145.84178937455,-0.136267680448239,0.0493197149773009,0.00507484085809304,0.0287468045622421
"CSRP2",190.791879274548,-0.854526661058182,0.192731533330497,1.0177374075473e-06,1.70269624025221e-05
"CST3",529.94102926131,-0.0336112440859664,0.110113843479947,0.74212536575674,0.885771569758472
"CSTB",497.86314255022,0.470364248011795,0.123103018520578,4.01103412842751e-05,0.000462316353036188
"CSTF1",295.190452330129,0.116670291495002,0.128970640301252,0.319686589675267,0.575908470315508
"CSTF2",446.235269252181,-0.144900174287606,0.107941078738342,0.150810257201042,0.364916080267017
"CSTF2T",208.800908985788,-0.00938102320830503,0.15486026518837,0.943102906414595,0.976275339491289
"CSTF3",478.65507742356,-0.116835024814038,0.101725786368829,0.222832205494322,0.465344278408318
"CSTF3-DT",3.62194421375513,0.00342393064228748,0.302490146738683,0.960786857928068,NA
"CT62",3.27008459008042,0.170483651817631,0.380444812162652,0.00264548665902916,NA
"CTAGE1",1.8663505461563,-0.0886267944809964,0.327181512161226,0.031046813166569,NA
"CTAGE11P",2.22150355410333,0.015493359540269,0.304998314944129,0.789649912799644,NA
"CTAGE15",2.43150461458667,0.0363892237855879,0.311069454570356,0.345346534164079,NA
"CTAGE4",11.744190558576,-0.0963012375237332,0.303309165468551,0.404763504254578,0.655765997070841
"CTAGE8",3.44498474531636,0.00420214318128216,0.309080797778069,0.872686144026982,NA
"CTAGE9",2.32973990836233,-0.0324649345404572,0.310340611692892,0.400693317379355,NA
"CTBP1",638.349936155773,0.0243855611932582,0.105371752454286,0.810881888825157,0.918029323216367
"CTBP1-AS",6.14091377765784,-0.0412202029731209,0.297895049881394,0.656907384239119,0.838020667487623
"CTBP1-DT",57.6283736411012,0.141345877989445,0.233172829398742,0.384368408535467,0.637878584968525
"CTBP2",1209.27459226748,0.141638184688734,0.0982843184067968,0.125562460774022,0.322933307426864
"CTBP2P8",2.30775483987058,0.0812224205726558,0.322954568814307,0.0750170509069284,NA
"CTBS",117.462010356084,0.420939826027424,0.210497307959928,0.0134616625523809,0.0626116762695124
"CTC1",76.6882513368097,-0.158191312203379,0.271366356778975,0.326291253840646,0.583282054364094
"CTCF",492.896492682513,-0.239483054103907,0.127183033456811,0.0383730088994887,0.139772753532677
"CTCFL",3.13758461884951,0.11896321344825,0.338915112868961,0.0574293853896169,NA
"CTDNEP1",838.728049813104,0.0277275261565097,0.0869586726432867,0.740384713140369,0.885234669134464
"CTDP1",179.858186800213,-0.143622825230795,0.159551111836135,0.293763894399768,0.548010331335293
"CTDSP1",274.354994009312,-0.214714386259031,0.131257294256219,0.0702524454187035,0.215809224986349
"CTDSP2",593.744963907333,-0.110863581279065,0.120608945742243,0.31684916318074,0.572679199307885
